ID,Tipo,SKU,Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Fecha en que empieza el precio rebajado","Fecha en que termina el precio de oferta","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","Vendido Individualmente?","Peso (kg)","Longitud (cm)","Ancho (cm)","Altura (cm)","¿Permitir reseñas de clientes?","Notas de la compra","Precio de oferta","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1"
5188,"simple, virtual",,"Wallet Topup",0,0,hidden,,"Auto generated product for wallet recharge please do not delete or update.",,,taxable,,1,,,0,1,,,,,0,,,,Audio,,,,,,,,,,,,0
5205,simple,43327,"Routers Antena Totolink",1,0,visible,"<ul>
 	<li>802.11 IEE 150 MBPS.</li>
 	<li>1 antena.</li>
</ul>","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>802.11 IEE 150 MBPS</li>
 	<li>1 antena.</li>
</ul>
<strong>CODIGO: 43327</strong>

<strong>MODELO: TL-N100RE</strong>",,,taxable,,1,1,,0,0,,,,,0,,,3093,Tecnología,router,,https://smartpro.com.ar/wp-content/uploads/2021/04/1-Antena-Totolink.jpg,,,,,,,,,0
5208,simple,43330,"Router Noganet - 1 antena",1,0,visible,"<ul>
 	<li>1 antena.</li>
 	<li>Velocidad Wifi de 150 Mbps.</li>
 	<li>Frecuencias 2.4 Ghz.</li>
</ul>","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>1 antena.</li>
 	<li>Velocidad Wifi de 150 Mbps.</li>
 	<li>Frecuencias 2.4 Ghz.</li>
</ul>
<strong>MODELO: NG-4190</strong>

<strong>CODIGO: 43330</strong>",,,taxable,,1,1,,0,0,,,,,0,,,6354,Tecnología,router,,https://smartpro.com.ar/wp-content/uploads/2021/04/Antena-3G.jpg,,,,,,,,,0
5210,simple,43309,"Receptor adaptador wi-fi",1,0,visible,"<ul>
 	<li>Receptor adaptador wi-fi.</li>
 	<li>Interfase USB 2.0</li>
</ul>","Todo lo que tenes que saber sobre este producto.
<ul>
 	<li>Receptor adaptador wi-fi.</li>
 	<li>Interfase USB 2.0</li>
 	<li>300 Mbps</li>
 	<li>Frecuencia 2.4 Ghz</li>
</ul>
<strong>CODIGO: 43309</strong>

<strong>MODELO: NG-UW03</strong>",,,taxable,,1,,,0,0,,,,,0,,,1100,Tecnología,"receptor de wifi, wifi",,https://smartpro.com.ar/wp-content/uploads/2021/04/Receptor-Adaptador-Nano-Wifi.jpg,,,,,,,,,0
5213,simple,43328,"Router inalámbrico Totolink",1,0,visible,"<ul>
 	<li>2 antenas.</li>
 	<li>Repetidor</li>
</ul>","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>2 antenas.</li>
 	<li>802.11 IEE</li>
 	<li>300 Mbps</li>
 	<li>Repetidor</li>
</ul>
<strong>MODELO: TL-N200RE</strong>

<strong>CODIGO: 43328</strong>",,,taxable,,1,1,,0,0,,,,,0,,,3227,Tecnología,"router, wifi",,https://smartpro.com.ar/wp-content/uploads/2021/04/Inalambrico-Totolink.jpg,,,,,,,,,0
5215,simple,16715,"Escurridor tijera",1,0,visible,"<ul>
 	<li>Color blanco, en bolsa</li>
 	<li>Bandeja / plegable</li>
</ul>","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Color blanco, en bolsa.</li>
 	<li>Sistema plegable.</li>
 	<li>incluye bandeja.</li>
</ul>
<strong>MODELO: 05 311 08</strong>

<strong>CODIGO: 16715</strong>",,,taxable,,1,2,,0,0,,,,,0,,,3330,Hogar,"escurridor de cocina, seca platos",,https://smartpro.com.ar/wp-content/uploads/2021/04/Escurridor-Tijera.jpg,,,,,,,,,0
5217,simple,16716,"Escurridor Luxury",1,0,visible,"<ul>
 	<li>Escurridor de platos Luxury</li>
 	<li>Color blanco.</li>
</ul>","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Escurridor de platos</li>
 	<li>Marca Luxury.</li>
 	<li>Color blanco.</li>
 	<li>Incluye bandeja.</li>
 	<li>Incluye cubiertero.</li>
</ul>
<strong>MODELO: 051 300 08</strong>

<strong>CODIGO: 16716</strong>",,,taxable,,1,3,,0,0,,,,,0,,,4950,Hogar,"escurridor de platos, seca platos",,https://smartpro.com.ar/wp-content/uploads/2021/04/Escurridor-Luxury.jpg,,,,,,,,,0
5223,simple,16721,"Chango simple",1,0,visible,"<ul>
 	<li>Chango simple</li>
 	<li>Color blanco</li>
</ul>","Todo lo que tenes que saber sobre este producto.
<ul>
 	<li>Chango para compras simple</li>
 	<li>Color blanco</li>
</ul>
<strong>MODELO: 054 010 08</strong>",,,taxable,,1,2,,0,0,,,,,0,,,5108,Hogar,"carrito de compras, chango de compras",,https://smartpro.com.ar/wp-content/uploads/2021/04/Chango-Simple.jpg,,,,,,,,,0
5225,simple,"30483 - 30483","Mochila para Notebook 14""",1,0,visible,"<ul>
 	<li>Mochila para notebook de 14""</li>
 	<li>Bolsillo interno.</li>
 	<li>Bolsillo frontal.</li>
</ul>","<ul>
 	<li>Mochila para notebook de 14""</li>
 	<li>Bolsillo interno.</li>
 	<li>Bolsillo frontal.</li>
 	<li>Marca: Case Logic.</li>
</ul>
Colores:
<ul>
 	<li>Petrol Green</li>
 	<li>Hudson</li>
</ul>
<strong>MODELO: LARI-144</strong>

<strong>CODIGO: 30484 - 30483</strong>",,,taxable,,1,3,,0,0,,,,,0,,,4993,Tecnología,"mochila, notebook, notebooks",,https://smartpro.com.ar/wp-content/uploads/2021/04/Mochila-para-Notebook-Lari-114.jpg,,,,,,,,,0
5227,simple,"30481 green","Mochila para Notebook 15,6"" petrol green",1,0,visible,"<ul>
 	<li>Mochila para notebook de 15,6""</li>
 	<li>Bolsillo interno.</li>
 	<li>Bolsillo frontal.</li>
</ul>","Todo lo que tenes que saber sobre este producto.
<ul>
 	<li>Mochila para notebook de 15,6""</li>
 	<li>bolsillo interno.</li>
 	<li>Bolsillo frontal.</li>
 	<li>Marca: Case Logic.</li>
</ul>
Colores:
<ul>
 	<li>Petrol Green</li>
</ul>
<strong>MODELO: LARI-115</strong>

<strong>CODIGO: 30481</strong>",,,taxable,,1,3,,0,0,,,,,0,,,6394,Tecnología,"mochila, notebook",,https://smartpro.com.ar/wp-content/uploads/2021/04/Mochila-para-Notebook-Lari115.jpg,,,,,,,,,0
5235,simple,"30469 rojo","Mochila para Notebook 15,6"" Roja",1,0,visible,"Mochila para notebook de 15,6"" con capacidad para accesorios.","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Mochila para notebook de 15,6"".</li>
 	<li>Capacidad para accesorios.</li>
 	<li>Marca: Case Logic.</li>
</ul>
Colores:
<ul>
 	<li>Rojo</li>
</ul>
<strong>MODELO: WMBP-115</strong>

<strong>CODIGO: 30469 </strong>",,,taxable,,1,3,,0,0,,,,,0,,,8089,Tecnología,"mochila, notebook",,https://smartpro.com.ar/wp-content/uploads/2021/04/Mochila-para-Notebook-WMBP115.jpg,,,,,,,,,0
5237,simple,42998,"Mesa base para Notebook",1,0,visible,"<ul>
 	<li>Diseño liviano y resistente</li>
 	<li>Regulable en altura y ángulo</li>
 	<li>Ganchos de sujeción</li>
 	<li>Perillas de ajuste</li>
 	<li>Portavasos</li>
 	<li>Grosor de 4 cm en posición totalmente horizontal</li>
 	<li>Soporta hasta 10 kg</li>
 	<li>Dimensiones: 35,5 x 23,5 cm.</li>
</ul>","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Diseño liviano y resistente</li>
 	<li>Regulable en altura y ángulo</li>
 	<li>Ganchos de sujeción</li>
 	<li>Perillas de ajuste</li>
 	<li>Portavasos</li>
 	<li>Grosor de 4 cm en posición totalmente horizontal</li>
 	<li>Soporta hasta 10 kg</li>
 	<li>Dimensiones: 35,5 x 23,5 cm.</li>
</ul>
MODELO: NG-DESK2

CODIGO: 42998",,,taxable,,1,3,,0,0,,,,,0,,,2367,"Hogar, Tecnología","mesa para notebook, notebook",,https://smartpro.com.ar/wp-content/uploads/2021/04/Mesa-base-para-Notebook.jpg,,,,,,,,,0
5241,simple,43031,"Kit Gaming",1,0,visible,"El NKB-403 es un Gaming Combo de Alto Diseño que te garantiza la mejor performance para tus juegos en PC.
Contiene Teclado y Mouse (2400 dpi) Retroiluminados, Mouse Pad que brinda un óptimo deslizamiento y Auriculares con Micrófono confortablemente acolchados. Con el Gaming Combo NKB-403 tendrás todo lo que necesitas para dominar el juego y disfrutar al máximo.","Todo lo que necesitas saber sobre este producto.

<strong>Teclado Gamer</strong>
<ul>
 	<li>105 Teclas en Español</li>
 	<li>Retroiluminado con efecto arco iris</li>
 	<li>Conexión USB</li>
</ul>
<strong>Mouse Gamer</strong>
<ul>
 	<li>6 Botones y Scroll</li>
 	<li>Selector de 800/1200/1400/2400 DPI</li>
 	<li>Retroiluminado 7 colores</li>
 	<li>Conexión USB</li>
</ul>
<strong>Auricular Gamer</strong>
<ul>
 	<li>Diámetro de Speaker: 40 mm</li>
 	<li>Micrófono con giro de 180 grados</li>
 	<li>Acolchados con vincha ajustable</li>
 	<li>Control de Volumen</li>
 	<li>Cable trenzado y reforzado</li>
 	<li>2 Conectores miniplug 3.5 mm para Audio &amp; Mic.</li>
</ul>
<strong>Mouse Pad</strong>
<ul>
 	<li>Material confortable y suave</li>
 	<li>Garantiza un óptimo deslizamiento</li>
 	<li>Medidas: 250 x 210 x 2 mm</li>
</ul>
<strong>MODELO: NKB 403</strong>

<strong>CODIGO: 43031</strong>",,,taxable,,1,3,,0,0,,,,,0,,,7534,Tecnología,"gamer, Mouse, pad, TECLADO GAMER",,https://smartpro.com.ar/wp-content/uploads/2021/04/Kit-Gaming.jpg,,,,,,,,,0
5243,simple,43041,"Combo Gamer Gamin Noga Net NKB 5320",1,0,visible,"Combo Gamer ideal para jugadores de multiplayer on-line, rpg, first person shooter y cualquier juego con interface basada en Teclado + Mouse disponible en el mercado.","Todo lo que necesitas saber sobre este producto.

Combo Gamer ideal para jugadores de multiplayer on-line.

<strong>TECLADO</strong>
<ul>
 	<li>Teclado con teclas claves reforzadas</li>
 	<li>Retroiluminado con una amplia gama de colores</li>
 	<li>Diseño de avanzada</li>
 	<li>Cable mallado con filtro</li>
</ul>
<strong>MOUSE</strong>
<ul>
 	<li>Mouse con Selector de Resolución: 1000/1200/1600/2400 DPI</li>
 	<li>Retroiluminado con una amplia gama de colores</li>
 	<li>Cable mallado con filtro</li>
</ul>
<strong>CODIGO: 43041</strong>

<strong>MODELO: NKB 5320</strong>",,,taxable,,1,3,,0,0,,,,,0,,,6000,Tecnología,"gamer, Mouse, mouse gamer, teclado, TECLADO GAMER",,https://smartpro.com.ar/wp-content/uploads/2021/04/Combo-Gaming.jpg,,,,,,,,,0
5245,simple,43053,"Teclado Gamer Noga Net NKB-K10",1,0,visible,"Teclado Gamer ideal para jugadores de multiplayer on-line, rpg, first person shooter y cualquier juego con interface basada en Teclado + Mouse disponible en el mercado. Por su diseño es óptimo para largas sesiones de juego en las que puedas apoyar tus manos. Incluye LEDS Multicolores.
Posee 12 teclas Multimedia y de Web estratégicamente ubicadas, para agilizar el uso de Internet y funciones Multimedia más empleadas cotidianamente. Construido sobre estructura metálica.","Teclado Gamer ideal para jugadores de multiplayer on-line, rpg, first person shooter y cualquier juego con interface basada en Teclado + Mouse disponible en el mercado. Por su diseño es óptimo para largas sesiones de juego en las que puedas apoyar tus manos. Incluye LEDS Multicolores.
Posee 12 teclas Multimedia y de Web estratégicamente ubicadas, para agilizar el uso de Internet y funciones Multimedia más empleadas cotidianamente.
Construido sobre estructura metálica.

- Marca : noga
- Modelo: NKB-K10
- Teclado con LEDS Multicolores
- Teclas reforzadas
- 12 Funciones Multimedia
- Estructura metálica
- Diseño Gamer
- Conexión USB
- Medidas: 48,3 x 18 x 3,5 cm.",,,taxable,,1,3,,0,0,,,,,0,,,2500,Tecnología,,,https://smartpro.com.ar/wp-content/uploads/2021/04/Teclado-Gamer-NKB-K10.jpg,,,,,,,,,0
5247,simple,43057,"Teclado Gamer NKB-560",1,0,visible,"'- El NKB-560 es un Teclado Gamer compacto de Alta Calidad.
- Construido con Sistema de Doble Inyección y Ultra-Silencioso.
- La elevación de sus teclas brindan comodidad y una gran suavidad al tacto.
- Posee 12 Teclas Multimedia que funcionan presionando FN.
- Su diseño resistente al agua (Water Resistant) puede soportar el volcado de líquidos en su superficie.
- Y su Retroiluminación LED con multiples colores permite usarlo en la oscuridad.","'- El NKB-560 es un Teclado Gamer compacto de Alta Calidad.
- Construido con Sistema de Doble Inyección y Ultra-Silencioso.
- La elevación de sus teclas brindan comodidad y una gran suavidad al tacto.
- Posee 12 Teclas Multimedia que funcionan presionando FN.
- Su diseño resistente al agua (Water Resistant) puede soportar el volcado de líquidos en su superficie.
- Y su Retroiluminación LED con multiples colores permite usarlo en la oscuridad.

- Teclas Construidas con Doble Inyección:
Sistema de construcción de teclas que permiten una vida útil de 50 millones de pulsaciones. (Double Inyection Keys)

- Diseño Resistente al Agua:
Preparado para soportar el volcado de líquidos en su superficie

- Función Retroiluminado:
Combinación de teclas FN + SL, con tres efectos de luz distintos y variación de intensidad al oprimir las teclas FN + Arriba/Abajo

- Teclado de Diseño Gamer compacto de Alta Calidad
- Construído con Sistema de Doble Inyección y Ultra-Silencioso
- Teclas elevadas y reforzadas para Gamers
- Gran suavidad al tacto
- 12 Funciones Multimedia presionando FN
- Retroiluminación LED con multiples colores
- Resistente al agua (Water Resistant)
- Cable con filtro
- Conexión USB
- Medidas: 43,5 x 13 x 3 cm.
- Compatible con Windows 7 / 8 / 10 y MAC OSX",,,taxable,,1,3,,0,0,,,,,0,,,"4306,15",Tecnología,,,https://smartpro.com.ar/wp-content/uploads/2021/04/Teclado-Gamer-NKB-560.jpg,,,,,,,,,0
5249,simple,43056,"Teclado Gamer NKB-GK23",1,0,visible,"Teclado Gamer ideal para jugadores de multiplayer on-line, rpg, first person shooter y cualquier juego con interface basada en Teclado disponible en el mercado.
Por su diseño es óptimo para largas sesiones de juego en las que puedas apoyar tus manos. Incluye LEDS Multicolores.
Posee teclas claves para Gamers y de Web estratégicamente ubicadas, para agilizar el uso de Internet y funciones Multimedia más empleadas cotidianamente.","Teclado Gamer ideal para jugadores de multiplayer on-line, rpg, first person shooter y cualquier juego con interface basada en Teclado disponible en el mercado.
Por su diseño es óptimo para largas sesiones de juego en las que puedas apoyar tus manos. Incluye LEDS Multicolores.
Posee teclas claves para Gamers y de Web estratégicamente ubicadas, para agilizar el uso de Internet y funciones Multimedia más empleadas cotidianamente.

- Marca: noga
- Modelo : NKB-GK23
- Teclado con LEDS Multicolores
- Teclas reforzadas
- Teclas claves para Gamers
- Diseño Gamer
- Conexión USB
- Medidas: 45 x 19 x 3 cm.",,,taxable,,1,3,,0,0,,,,,0,,,"3162,78",Tecnología,,,https://smartpro.com.ar/wp-content/uploads/2021/04/Teclado-Gamer-NKB-GK23.jpg,,,,,,,,,0
5251,simple,43050,"Teclado Gamer Clover",1,0,visible,"El Teclado CLOVER te brinda una gran performance debido a su tecnología mecánica y su excelente construcción.
Sus teclas poseen Blue Switch con interruptores mecánicos y sistema de construcción de teclas de doble inyección que permiten una extensa vida útil y te proporciona un perfecto ""touch"" que genera el feedback exacto para jugar con absoluta seguridad.","El Teclado CLOVER te brinda una gran performance debido a su tecnología mecánica y su excelente construcción.
Sus teclas poseen Blue Switch con interruptores mecánicos y sistema de construcción de teclas de doble inyección que permiten una extensa vida útil y te proporciona un perfecto ""touch"" que genera el feedback exacto para jugar con absoluta seguridad.
Además posee teclas elevadas, 12 Funciones Multimedia, 26 teclas con ""Anti-Ghosting"" y cable con filtro preparado para soportar tironeos y garantiza una óptima velocidad de transmisión y respuesta.
También presenta Retroiluminado Full Color.
NOGA CLOVER te garantiza un óptimo rendimiento en tus experiencias gamer más exigidas.

- Marca : noga
- Modelo : clover
- 104 Teclas mecánicas y elevadas con doble inyección + Blue Switch
- 12 Teclas Multimedia y 26 Teclas con ""Anti-Ghosting""
- Cable con filtro
- Retroiluminado Full Color
- Medidas: 45,1 x 14,1 x 3,91 cm.",,,taxable,,1,3,,0,0,,,,,0,,,"5333,11",Tecnología,,,https://smartpro.com.ar/wp-content/uploads/2021/04/Teclado-Gamer-Clover.jpg,,,,,,,,,0
5253,simple,43082,"Teclado para tablet C/Funda Noganet 10"" XJM-10",1,0,visible,"<ul>
 	<li>Funda con teclado para tablet 10""</li>
 	<li>Micro y Mini USB</li>
</ul>","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Funda con teclado para tablet 10""</li>
 	<li>Micro y Mini USB</li>
</ul>
<strong>CODIGO: 43082</strong>

<strong>MODELO: KB-9814</strong>",,,taxable,,1,3,,0,0,,,,,0,,,1800,Tecnología,"funda, funda tablet, tablet, teclado",,https://smartpro.com.ar/wp-content/uploads/2021/04/Funda-con-teclado-Micro-y-Mini-usb-10.jpg,,,,,,,,,0
5255,simple,43725,"Teclado para tablet C/Funda Panacom 7"" KB-9812",1,0,visible,"&nbsp;
<ul>
 	<li>Micro y Mini USB</li>
 	<li>Colores: Verde - Azul - Gris</li>
 	<li>Teclado para tablet c/funda 7""</li>
</ul>","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Teclado para tablet C/Funda 7""</li>
 	<li>Micro y Mini USB</li>
 	<li>Colores: Verde - Azul - Gris</li>
</ul>
<strong>MODELO: KB-9812</strong>

<strong>CODIGO: 43725</strong>",,,taxable,,1,3,,0,0,,,,,0,,,1500,Tecnología,"funda, funda para tablet, tablet, teclado",,https://smartpro.com.ar/wp-content/uploads/2021/04/Funda-con-teclado-Micro-y-Mini-usb-7.jpg,,,,,,,,,0
5257,simple,43081,"Funda con teclado 9""",1,0,visible,"<ul>
 	<li>Funda con teclado para tablet 9""</li>
 	<li>Micro y Mini USB</li>
</ul>
&nbsp;","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Funda con teclado para tablet 9""</li>
 	<li>Micro y Mini USB</li>
</ul>
<strong>MODELO: RGMS-2006</strong>

<strong>CODIGO: 43081</strong>",,,taxable,,1,3,,0,0,,,,,0,,,2099,"Hogar, Tecnología","funda y teclado, tablet, teclado",,https://smartpro.com.ar/wp-content/uploads/2021/04/Funda-con-teclado-para-Tablet-9.jpg,,,,,,,,,0
5259,simple,43095,"Kit Gabinete Noga ET 7",1,0,visible,"<ul>
 	<li>Gabinete kit noga et-7</li>
 	<li>fuente 500w, teclado, mouse y parlantes.</li>
 	<li>Excelente calidad</li>
 	<li>Botones Power ON/OFF y Reset</li>
</ul>","<ul>
 	<li>Gabinete kit noga et-7</li>
 	<li>fuente 500w, teclado, mouse y parlantes.</li>
 	<li>Excelente calidad</li>
 	<li>Botones Power ON/OFF y Reset</li>
 	<li>2 Puertos USB frontales con opción de agregar 2 más</li>
 	<li>Salidas de Auriculares y Mic. frontales</li>
 	<li>LEDS de Encendido y Procesamiento</li>
 	<li>1 Bahía para Disco Rígido 3 1/2</li>
 	<li>2 Posiciones de Montaje para Discos SSD</li>
 	<li>1 Bahías 5.25</li>
 	<li>Posibilidad de agregar 1 Cooler de 8 cm. + 1 Cooler de 12 cm.</li>
 	<li>Incluye Fuente ATX-500W P4 20+4 pines y conectores SATA</li>
 	<li>Cable Alimentación 220V</li>
</ul>
<strong>MODELO: ET 7</strong>

<strong>CODIGO: 43095</strong>",,,taxable,,1,3,,0,0,,,,,0,,,7169,"Hogar, Tecnología","ESCRITORIO, GABINETE, KIT, Mouse, Parlantes, PC, teclado",,https://smartpro.com.ar/wp-content/uploads/2021/04/Gabinete-con-fuente-teclado-multimedia-mouse-parlantes-usb.jpg,,,,,,,,,0
5261,simple,43116,"Joystick NG 4200X",1,0,visible,"<ul>
 	<li>Led pad función de click y led frontal</li>
 	<li>Botones con iluminación led</li>
 	<li>Pad intercambiable incorporado</li>
</ul>","Todo lo que necesitas saber sobre este producto.

<strong>Control preciso</strong>
Este mando combina funciones revolucionarias mientras conserva precisión, comodidad y exactitud en cada movimiento. Gracias a su ergonomía especialmente pensada para la posición de tu mano, podes pasar horas jugando con total confort.

<strong>Mayor comodidad y realismo</strong>
Te permite jugar sin necesidad de que haya cables de por medio. Está pensado no solamente para controlar mejor tus videojuegos, sino también para aumentar su realismo y experiencia.
<ul>
 	<li>Led pad función de click y led frontal</li>
 	<li>Botones con iluminación led</li>
 	<li>Pad intercambiable incorporado</li>
 	<li>Doble vibración Antislip sticks</li>
 	<li>Cable 3m conexión USB</li>
</ul>
<strong>MODELO: NG-4200X</strong>

<strong>CODIGO: 43116</strong>",,,taxable,,1,3,,0,0,,,,,0,,,8160,Tecnología,"gamer, JOISTIC, JOISTIK, joystick, video juego",,https://smartpro.com.ar/wp-content/uploads/2021/04/Joystick-NG-4200X-.jpg,,,,,,,,,0
5263,simple,43121,"Joystick NG 2GO1",1,1,visible,"Este mando combina funciones revolucionarias mientras conserva precisión, comodidad y exactitud en cada movimiento. Gracias a su ergonomía especialmente pensada para la posición de tu mano, podés pasar horas jugando con total confort.

&nbsp;","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>El NG-2GO1 es un nuevo control inalámbrico BT compatible con videojuegos de Android y Windows.
El dispositivo cuenta con un brazo ajustable para poder colocar cualquier Smartphone.
Además se conecta en forma inalámbrica con Smartphones y Tablets.
También puede ser usado como Gamepad con conexión USB para PC.
Experiencia full a través de su variedad de controles.
Descubrí y descarga los mejores juegos para Android y Windows.
Juga con precisión estés donde estés.</li>
 	<li>Gamepad con Sistema de Soporte ajustable para Smartphone</li>
 	<li>Compatible con Smartphones y Tablets con recepción inalámbrica BT</li>
 	<li>Alcance de 6 a 8 metros</li>
 	<li>Modo de Ahorro de Energía: se apagará luego de 5 minutos si no es utilizado</li>
 	<li>Soporta Android y Windows</li>
 	<li>Posee Modo simulación de Mouse</li>
 	<li>Apto para la mayoría de los juegos</li>
 	<li>Funciona con Batería de Litio de 400mAH</li>
 	<li>Recarga de Batería por mini USB (incluye cable)</li>
</ul>
<strong>MODELO: NG 2GO1</strong>

<strong>CODIGO: 43121</strong>",,,taxable,,1,3,,0,0,,,,,0,,,3000,Tecnología,"gamer, JOISTIC, JOISTIK, joystick, video juego",,https://smartpro.com.ar/wp-content/uploads/2021/04/Joystick-NG-2GO1.jpg,,,,,,,,,0
5265,simple,43119,"Joystick NG 3009",1,0,visible,"<ul>
 	<li>12 Botones de Acción programables</li>
 	<li>6 Botones Analógicos</li>
 	<li>2 Palancas Analógicas</li>
 	<li>1 Pad de Dirección</li>
</ul>","Todo lo que necesitas saber sobre este producto
<ul>
 	<li>GAMEPAD INALÁMBRICO PARA P3</li>
 	<li>Comodidad y Precisión en tus juegos.</li>
 	<li>12 Botones de Acción programables</li>
 	<li>6 Botones Analógicos</li>
 	<li>2 Palancas Analógicas</li>
 	<li>1 Pad de Dirección</li>
 	<li>Botón de Menú de Playstation 3</li>
 	<li>4 LEDS que indican el puerto utilizado</li>
 	<li>Posee Función ""Dual-Shock"" (vibración)</li>
 	<li>Funciona con Batería de Litio recargable</li>
 	<li>Incluye Cable USB de 1,8 metros para recarga de energía</li>
</ul>
<strong>MODELO: NG-3009</strong>

<strong>CODIGO: 43119</strong>",,,taxable,,1,3,,0,0,,,,,0,,,3614,Tecnología,"gamer, JOISTIC, JOISTIK, joystick, video juegos",,https://smartpro.com.ar/wp-content/uploads/2021/04/Joystick-NG-3009-1.jpg,,,,,,,,,0
5268,simple,43133,"Joystick NG 3093",1,0,visible,"Control preciso
Este mando combina funciones revolucionarias mientras conserva precisión, comodidad y exactitud en cada movimiento. Gracias a su ergonomía especialmente pensada para la posición de tu mano, podés pasar horas jugando con total confort.

&nbsp;","Todo lo que necesitas saber sobre este producto.

Control preciso
Este mando combina funciones revolucionarias mientras conserva precisión, comodidad y exactitud en cada movimiento. Gracias a su ergonomía especialmente pensada para la posición de tu mano, podés pasar horas jugando con total confort.

Mayor comodidad y realismo
Te permite jugar sin necesidad de que haya cables de por medio. Está pensado no solamente para controlar mejor tus videojuegos, sino también para aumentar su realismo y experiencia.

<strong>MODELO: NG 3093</strong>

<strong>CODIGO: 43133</strong>",,,taxable,,1,3,,0,0,,,,,0,,,3058,Tecnología,"gamer, JOISTIC, JOISTIK, joystick, video juegos",,https://smartpro.com.ar/wp-content/uploads/2021/04/Joystick-NG-3009-1.jpg,,,,,,,,,0
5269,simple,43114,"Joystick NG 5000X",1,0,visible,"Control preciso
Este mando combina funciones revolucionarias mientras conserva precisión, comodidad y exactitud en cada movimiento. Gracias a su ergonomía especialmente pensada para la posición de tu mano, podes pasar horas jugando con total confort.

&nbsp;","Todo lo que necesitas saber sobre este producto

<strong>Control preciso</strong>
Este mando combina funciones revolucionarias mientras conserva precisión, comodidad y exactitud en cada movimiento. Gracias a su ergonomía especialmente pensada para la posición de tu mano, podes pasar horas jugando con total confort.

<strong>Mayor comodidad y realismo</strong>
Te permite jugar sin necesidad de que haya cables de por medio. Está pensado no solamente para controlar mejor tus videojuegos, sino también para aumentar su realismo y experiencia.

<strong>Bluetooth</strong>
Cuenta con conexión Bluetooth de alta tecnología para usarlo en cualquier ordenador o dispositivo; ya no necesitarás de aplicaciones de terceros ni cable USB. Además, posee gran capacidad anti interferente, fácil manejo y señal de conexión estable.

<strong>MODELO: NG-5000X</strong>

<strong>CODIGO: 43114</strong>",,,taxable,,1,3,,0,0,,,,,0,,,14473,Tecnología,"gamer, JOISTIC, JOISTIK, joystick, videojuegos",,https://smartpro.com.ar/wp-content/uploads/2021/04/Joystick-NG-5000X.jpg,,,,,,,,,0
5271,simple,43129,"Joystick NG 2131",1,0,visible,"<ul>
 	<li>2 Palancas analógicas.</li>
 	<li>Joystick para PC.</li>
 	<li>Posee función (dual shock) VIBRACION.</li>
 	<li>Incluye  cable USB  de 1.8 metros.</li>
</ul>","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>2 Palancas analógicas.</li>
 	<li>Joystick para PC.</li>
 	<li>Posee función (dual shock) VIBRACION.</li>
 	<li>Incluye  cable USB  de 1.8 metros.</li>
</ul>
<strong>MODELO: NG 2131</strong>

<strong>CODIGO: 43129</strong>",,,taxable,,1,3,,0,0,,,,,0,,,1056,Tecnología,"GAMMER, JOISTIC, joystick, video juego",,https://smartpro.com.ar/wp-content/uploads/2021/04/Joystick-NG-2131.jpg,,,,,,,,,0
5273,simple,43124,"Joystick NG 3004",1,0,visible,"<ul>
 	<li>Joystick para P2 analógico.</li>
 	<li>Posee función (dual shock) VIBRACION</li>
 	<li>Led indicador de funcionamiento.</li>
</ul>","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Joystick para P2 analógico.</li>
 	<li>Posee función (dual shock) VIBRACION</li>
 	<li>Led indicador de funcionamiento.</li>
 	<li>Incluye  cable USB  de 1.8 metros.</li>
 	<li><strong>MODELO: NG3004</strong>

<strong>CODIGO: 43124</strong></li>
</ul>",,,taxable,,1,3,,0,0,,,,,0,,,1158,Tecnología,"JOISTIC, joystick, video juego",,https://smartpro.com.ar/wp-content/uploads/2021/04/Joystick-NG-2131.jpg,,,,,,,,,0
